Drug,DrugBank ID,ATC Codes,Pathways
"2-[({2-[(1Z)-3-(DIMETHYLAMINO)PROP-1-ENYL]-4-FLUOROPHENYL}SULFONYL)AMINO]-5,6,7,8-TETRAHYDRONAPHTHALENE-1-CARBOXYLIC ACID",DB07323,No ATC Code,No Pathways
"3-({2-[(2-AMINO-6-METHYLPYRIMIDIN-4-YL)ETHYNYL]BENZYL}AMINO)-1,3-OXAZOL-2(3H)-ONE",DB07324,No ATC Code,No Pathways
N-[(2-AMINO-6-METHYLPYRIMIDIN-4-YL)METHYL]-3-{[(E)-(2-OXODIHYDROFURAN-3(2H)-YLIDENE)METHYL]AMINO}BENZENESULFONAMIDE,DB07325,No ATC Code,No Pathways
"6-chloro-N-pyrimidin-5-yl-3-{[3-(trifluoromethyl)phenyl]amino}-1,2-benzisoxazole-7-carboxamide",DB07326,No ATC Code,No Pathways
R-95845,DB07327,No ATC Code,No Pathways
"METHYL 4-{[({[(2R,5S)-5-{[(2S)-2-(AMINOMETHYL)PYRROLIDIN-1-YL]CARBONYL}PYRROLIDIN-2-YL]METHYL}AMINO)CARBONYL]AMINO}BENZOATE",DB07328,No ATC Code,No Pathways
1-[N-4'-NITROBENZYL-N-4'-CARBOXYBUTYLAMINO]METHYLPHOSPHONIC ACID,DB07329,No ATC Code,No Pathways
A-620223,DB07330,No ATC Code,No Pathways
p-Nitrophenylacetic acid,DB07331,No ATC Code,No Pathways
"ALPHA-(2,6-DICHLOROPHENYL)-ALPHA-(2-ACETYL-5-METHYLANILINO)ACETAMIDE",DB07332,No ATC Code,No Pathways
"N-(CYCLOPROPYLMETHYL)-4-(METHYLOXY)-3-({5-[3-(3-PYRIDINYL)PHENYL]-1,3-OXAZOL-2-YL}AMINO)BENZENESULFONAMIDE",DB07333,No ATC Code,No Pathways
"N-[5-(ETHYLSULFONYL)-2-METHOXYPHENYL]-5-[3-(2-PYRIDINYL)PHENYL]-1,3-OXAZOL-2-AMINE",DB07334,No ATC Code,No Pathways
"3-[4-AMINO-1-(1-METHYLETHYL)-1H-PYRAZOLO[3,4-D]PYRIMIDIN-3-YL]PHENOL",DB07335,No ATC Code,No Pathways
4-[3-(1H-BENZIMIDAZOL-2-YL)-1H-INDAZOL-6-YL]-2-METHOXYPHENOL,DB07336,No ATC Code,No Pathways
"4-[4-AMINO-6-(5-CHLORO-1H-INDOL-4-YLMETHYL)-[1,3,5]TRIAZIN-2-YLAMINO]-BENZONITRILE",DB07337,No ATC Code,No Pathways
Acifluorfen,DB07338,No ATC Code,No Pathways
"(3S)-3-hydroxy-1-methyl-2,3-dihydro-1H-indole-5,6-dione",DB07339,No ATC Code,No Pathways
Reversine,DB07340,No ATC Code,No Pathways
"octyl 3-amino-3-deoxy-2-O-(2,6-dideoxy-alpha-L-lyxo-hexopyranosyl)-beta-D-galactopyranoside",DB07341,No ATC Code,No Pathways
1-(adamantan-1-yl)-2-(1H-imidazol-1-yl)ethanone,DB07342,No ATC Code,No Pathways
"4-[4-AMINO-6-(2,6-DICHLORO-PHENOXY)-[1,3,5]TRIAZIN-2-YLAMINO]-BENZONITRILE",DB07343,No ATC Code,No Pathways
"3,6,9,12,15-PENTAOXAHEPTADECAN-1-OL",DB07344,No ATC Code,No Pathways
4-(2-aminoethyl)-2-cyclohexylphenol,DB07345,No ATC Code,No Pathways
4-(2-aminoethyl)-2-ethylphenol,DB07346,No ATC Code,No Pathways
4-(2-Aminoethyl)Benzenesulfonyl Fluoride,DB07347,No ATC Code,No Pathways
Brefeldin A,DB07348,No ATC Code,No Pathways
"(1S)-2-{[{[(2S)-2,3-DIHYDROXYPROPYL]OXY}(HYDROXY)PHOSPHORYL]OXY}-1-[(PENTANOYLOXY)METHYL]ETHYL OCTANOATE",DB07349,No ATC Code,No Pathways
(2E)-N-hydroxy-3-[1-methyl-4-(phenylacetyl)-1H-pyrrol-2-yl]prop-2-enamide,DB07350,No ATC Code,No Pathways
O-(((1R)-((N-(PHENYL-METHOXY-CARBONYL)-ALANYL)-AMINO)METHYL)HYDROXYPHOSPHINYL)3-L-PHENYLLACTATE,DB07351,No ATC Code,No Pathways
Apigenin,DB07352,No ATC Code,No Pathways
"4-(2,5-DIAMINO-5-HYDROXY-PENTYL)-PHENOL",DB07353,No ATC Code,No Pathways
"2,3-DIMETHOXY-12H-[1,3]DIOXOLO[5,6]INDENO[1,2-C]ISOQUINOLIN-6-IUM",DB07354,No ATC Code,No Pathways
3-(heptyloxy)benzoic acid,DB07355,No ATC Code,No Pathways
"(1S)-2-[(2S,5R)-2-(AMINOMETHYL)-5-ETHYNYLPYRROLIDIN-1-YL]-1-CYCLOPENTYL-2-OXOETHANAMINE",DB07356,No ATC Code,No Pathways
"4-AMINO-2-HEXYLOXY-6-HYDROXYMETHYL-TETRAHYDRO-PYRAN-3,5-DIOL",DB07357,No ATC Code,No Pathways
"2-amino-N-(4-methyl-1,3-thiazol-2-yl)-5-[(4-methyl-4H-1,2,4-triazol-3-yl)sulfanyl]benzamide",DB07358,No ATC Code,No Pathways
"3-[(4-fluorophenyl)sulfanyl]-N-(4-methyl-1,3-thiazol-2-yl)-6-[(4-methyl-4H-1,2,4-triazol-3-yl)sulfanyl]pyridine-2-carboxamide",DB07359,No ATC Code,No Pathways
"1-{5-[2-(thieno[3,2-d]pyrimidin-4-ylamino)ethyl]-1,3-thiazol-2-yl}-3-[3-(trifluoromethyl)phenyl]urea",DB07360,No ATC Code,No Pathways
"1-(5-{2-[(1-methyl-1H-pyrazolo[4,3-d]pyrimidin-7-yl)amino]ethyl}-1,3-thiazol-2-yl)-3-[3-(trifluoromethyl)phenyl]urea",DB07362,No ATC Code,No Pathways
"THIOPHENE-2,5-DISULFONIC ACID 2-AMIDE-5-(4-METHYL-BENZYLAMIDE)",DB07363,No ATC Code,No Pathways
"6-PHENYL[5H]PYRROLO[2,3-B]PYRAZINE",DB07364,No ATC Code,No Pathways
1-Naphthyl-L-alanine,DB07365,No ATC Code,No Pathways
2-[N'-(4-AMINO-BUTYL)-HYDRAZINOCARBONYL]-PYRROLIDINE-1-CARBOXYLIC ACID BENZYL ESTER,DB07366,No ATC Code,No Pathways
"(3Z,5S,6R,7S,8S,8aR)-3-(octylimino)hexahydro[1,3]oxazolo[3,4-a]pyridine-5,6,7,8-tetrol",DB07367,No ATC Code,No Pathways
4-(METHYLSULFONYL)BENZENECARBOXIMIDAMIDE,DB07368,No ATC Code,No Pathways
"N-(3-chlorophenyl)-N-methyl-2-oxo-3-[(3,4,5-trimethyl-1H-pyrrol-2-yl)methyl]-2H-indole-5-sulfonamide",DB07369,No ATC Code,No Pathways
"(3Z,5S,6R,7S,8R,8aS)-3-(octylimino)hexahydro[1,3]thiazolo[3,4-a]pyridine-5,6,7,8-tetrol",DB07370,No ATC Code,No Pathways
3-(10-methyl-9-anthryl)propanoic acid,DB07371,No ATC Code,No Pathways
Boldione,DB07373,No ATC Code,No Pathways
Anisomycin,DB07374,No ATC Code,No Pathways
Etiocholanedione,DB07375,No ATC Code,Androstenedione Metabolism
5-(DIMETHYLAMINO)-1-NAPHTHALENESULFONIC ACID(DANSYL ACID),DB07376,No ATC Code,No Pathways
"N'-((2S,3R)-3-AMINO-2-HYDROXY-5-(ISOPROPYLSULFANYL)PENTANOYL)-N-3-CHLOROBENZOYL HYDRAZIDE",DB07377,No ATC Code,No Pathways
"4-AMINO-2-OCTYLOXY-6-HYDROXYMETHYL-TETRAHYDRO-PYRAN-3,5-DIOL",DB07378,No ATC Code,No Pathways
(2S)-2-({6-[(3-Amino-5-chlorophenyl)amino]-9-isopropyl-9H-purin-2-yl}amino)-3-methyl-1-butanol,DB07379,No ATC Code,No Pathways
"1,1,1-TRIFLUORO-3-ACETAMIDO-4-PHENYL BUTAN-2-ONE(N-ACETYL-L-PHENYLALANYL TRIFLUOROMETHYL KETONE)",DB07380,No ATC Code,No Pathways
(S)-atrolactic acid,DB07381,No ATC Code,No Pathways
"N~2~-1H-benzimidazol-5-yl-N~4~-(3-cyclopropyl-1H-pyrazol-5-yl)pyrimidine-2,4-diamine",DB07382,No ATC Code,No Pathways
"N-(1-BENZYL-3,3,3-TRIFLUORO-2,2-DIHYDROXY-PROPYL)-ACETAMIDE",DB07383,No ATC Code,No Pathways
1-ACETYL-2-CARBOXYPIPERIDINE,DB07384,No ATC Code,No Pathways
"3-(HYDROXYMETHYL)-1-METHYL-5-(2-METHYLAZIRIDIN-1-YL)-2-PHENYL-1H-INDOLE-4,7-DIONE",DB07385,No ATC Code,No Pathways
3-(BUTYLSULPHONYL)-PROPANOIC ACID,DB07387,No ATC Code,No Pathways
ETHYL 4-[(4-METHYLPYRIDIN-2-YL)AMINO]PIPERIDINE-1-CARBOXYLATE,DB07388,No ATC Code,No Pathways
N-[2-(6-AMINO-4-METHYLPYRIDIN-2-YL)ETHYL]-4-CYANOBENZAMIDE,DB07389,No ATC Code,No Pathways
"2-[3-(5-Mercapto-[1,3,4]thiadiazol-2-yl)-ureido]-N-methyl-3-phenyl-propionamide",DB07390,No ATC Code,No Pathways
"(2S)-2-AMINO-1-(5-TERT-BUTYL-1,3,4-OXADIAZOL-2-YL)PROPAN-1-ONE",DB07391,No ATC Code,No Pathways
Atrazine,DB07392,No ATC Code,No Pathways
"2-(2-PHENYL-3-PYRIDIN-2-YL-4,5,6,7-TETRAHYDRO-2H-ISOPHOSPHINDOL-1-YL)PYRIDINE",DB07393,No ATC Code,No Pathways
AUROVERTIN B,DB07394,No ATC Code,No Pathways
"4-[3-(2-Chloro-4,5-difluoro-benzoyl)ureido]-3-trifluoromethoxybenzoic acid",DB07395,No ATC Code,No Pathways
AVE-2865,DB07396,No ATC Code,No Pathways
"(5S)-5-(2-amino-2-oxoethyl)-4-oxo-N-[(3-oxo-3,4-dihydro-2H-1,4-benzoxazin-6-yl)methyl]-3,4,5,6,7,8-hexahydro[1]benzothieno[2,3-d]pyrimidine-2-carboxamide",DB07397,No ATC Code,No Pathways
"2-[(CYCLOPROPYLCARBONYL)AMINO]-4,5,6,7-TETRAHYDRO-1-BENZOTHIOPHENE-3-CARBOXAMIDE",DB07398,No ATC Code,No Pathways
1-ETHOXYCARBONYL-D-PHE-PRO-2(4-AMINOBUTYL)HYDRAZINE,DB07400,No ATC Code,No Pathways
Azoxystrobin,DB07401,No ATC Code,No Pathways
Azapropazone,DB07402,M01AX04,No Pathways
"4-[(3-CHLORO-4-{[(2R)-3,3,3-TRIFLUORO-2-HYDROXY-2-METHYLPROPANOYL]AMINO}PHENYL)SULFONYL]-N,N-DIMETHYLBENZAMIDE",DB07403,No ATC Code,No Pathways
BPH-608,DB07404,No ATC Code,No Pathways
"1-(6-CYANO-3-PYRIDYLCARBONYL)-5',8'-DIFLUOROSPIRO[PIPERIDINE-4,2'(1'H)-QUINAZOLINE]-4'-AMINE",DB07405,No ATC Code,No Pathways
"(4R)-N-[4-({[2-(DIMETHYLAMINO)ETHYL]AMINO}CARBONYL)-1,3-THIAZOL-2-YL]-4-METHYL-1-OXO-2,3,4,9-TETRAHYDRO-1H-BETA-CARBOLINE-6-CARBOXAMIDE",DB07406,No ATC Code,No Pathways
5-(2-METHOXYPHENYL)-2-FUROIC ACID,DB07407,No ATC Code,No Pathways
5-(2-NITROPHENYL)-2-FUROIC ACID,DB07408,No ATC Code,No Pathways
"(1-HYDROXY-1-PHOSPHONO-2-[1,1';4',1'']TERPHENYL-3-YL-ETHYL)-PHOSPHONIC ACID",DB07409,No ATC Code,No Pathways
[2-(3-DIBENZOFURAN-4-YL-PHENYL)-1-HYDROXY-1-PHOSPHONO-ETHYL]-PHOSPHONIC ACID,DB07410,No ATC Code,No Pathways
PHENYLALANINE BORONIC ACID,DB07411,No ATC Code,No Pathways
1-biphenyl-2-ylmethanamine,DB07412,No ATC Code,No Pathways
5'-S-[2-(decylamino)ethyl]-5'-thioadenosine,DB07413,No ATC Code,No Pathways
"(5S)-1-benzyl-3-(1,1-dioxido-1,2-benzisothiazol-3-yl)-4-hydroxy-5-(1-methylethyl)-1,5-dihydro-2H-pyrrol-2-one",DB07414,No ATC Code,No Pathways
4-[(1S)-1-(3-fluoro-4-methoxyphenyl)-2-(2-methoxy-5-nitrophenyl)ethyl]-1H-imidazol-2-amine,DB07415,No ATC Code,No Pathways
(2S)-2-(BUTYRYLOXY)-3-HYDROXYPROPYL NONANOATE,DB07416,No ATC Code,No Pathways
bis(4-nitrophenyl) hydrogen phosphate,DB07418,No ATC Code,No Pathways
S-23,DB07419,No ATC Code,No Pathways
(1R)-4-(3-phenoxyphenyl)-1-phosphonobutane-1-sulfonic acid,DB07420,No ATC Code,No Pathways
"4-{[(1R,2S)-1,2-dihydroxy-2-methyl-3-(4-nitrophenoxy)propyl]amino}-2-(trifluoromethyl)benzonitrile",DB07421,No ATC Code,No Pathways
(2S)-2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]-3-(pentafluorophenoxy)propanamide,DB07422,No ATC Code,No Pathways
Andarine,DB07423,No ATC Code,No Pathways
Tripotassium (1R)-4-biphenyl-4-yl-1-phosphonatobutane-1-sulfonate,DB07424,No ATC Code,No Pathways
Sobetirome,DB07425,No ATC Code,No Pathways
"[1-HYDROXY-2-(1,1':3',1''-TERPHENYL-3-YLOXY)ETHANE-1,1-DIYL]BIS(PHOSPHONIC ACID)",DB07426,No ATC Code,No Pathways
2-[(2-methoxy-5-methylphenoxy)methyl]pyridine,DB07427,No ATC Code,No Pathways
4-[(5-methoxy-2-methylphenoxy)methyl]pyridine,DB07428,No ATC Code,No Pathways
2-({[4-bromo-3-(diethylsulfamoyl)phenyl]carbonyl}amino)benzoic acid,DB07429,No ATC Code,No Pathways
"(10R)-10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-[1,4]diazepino[5',6':4,5]thieno[3,2-f]quinolin-8-one",DB07430,No ATC Code,No Pathways
"(3R)-3-(aminomethyl)-9-methoxy-1,2,3,4-tetrahydro-5H-[1]benzothieno[3,2-e][1,4]diazepin-5-one",DB07431,No ATC Code,No Pathways
"[[(3R,4R,5S,6R)-3-(butanoylamino)-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-ylidene]amino] N-phenylcarbamate",DB07432,No ATC Code,No Pathways
(TERT-BUTYLOXYCARBONYL)-ALANYL-AMINO ETHYL-FORMAMIDE,DB07433,No ATC Code,No Pathways
HONH-BENZYLMALONYL-L-ALANYLGLYCINE-P-NITROANILIDE,DB07434,No ATC Code,No Pathways
"1,2,3-TRIHYDROXY-1,2,3,4-TETRAHYDROBENZO[A]PYRENE",DB07435,No ATC Code,No Pathways
N-(1-PHENYL-PROPYL)-FORMAMIDE,DB07436,No ATC Code,No Pathways
5-Benzylacyclouridine,DB07437,No ATC Code,No Pathways
"1-((2-HYDROXYETHOXY)METHYL)-5-(3-(BENZYLOXY)BENZYL)-6-HYDROXYPYRIMIDINE-2,4(1H,3H)-DIONE",DB07439,No ATC Code,No Pathways
4-TERT-BUTYLBENZENESULFONIC ACID,DB07440,No ATC Code,No Pathways
"3-{[(9-CYANO-9,10-DIHYDRO-10-METHYLACRIDIN-9-YL)CARBONYL]AMINO}PROPANOIC ACID",DB07441,No ATC Code,No Pathways
(2Z)-N-biphenyl-4-yl-2-cyano-3-hydroxybut-2-enamide,DB07443,No ATC Code,No Pathways
"6-(3-AMINOPROPYL)-4,9-DIMETHYLPYRROLO[3,4-C]CARBAZOLE-1,3(2H,6H)-DIONE",DB07444,No ATC Code,No Pathways
"N'-[(1E)-(3,5-DIBROMO-2,4-DIHYDROXYPHENYL)METHYLENE]NICOTINOHYDRAZIDE",DB07445,No ATC Code,No Pathways
N-(biphenyl-4-ylsulfonyl)-D-leucine,DB07446,No ATC Code,No Pathways
5beta-dihydrotestosterone,DB07447,No ATC Code,"17-beta Hydroxysteroid Dehydrogenase III Deficiency, Androgen and Estrogen Metabolism, Aromatase Deficiency"
(2S)-3-[(R)-[(1S)-1-amino-3-phenylpropyl](hydroxy)phosphoryl]-2-benzylpropanoic acid,DB07448,No ATC Code,No Pathways
N-[(1S)-1-(aminocarbonyl)-4-(ethanimidoylamino)butyl]benzamide,DB07449,No ATC Code,No Pathways
(R)-minalrestat,DB07450,No ATC Code,No Pathways
1-(5-BROMO-PYRIDIN-2-YL)-3-[2-(6-FLUORO-2-HYDROXY-3-PROPIONYL-PHENYL)-CYCLOPROPYL]-UREA,DB07451,No ATC Code,No Pathways
"2,6-diamino-1,7-dihydro-8H-imidazo[4,5-g]quinazolin-8-one",DB07452,No ATC Code,No Pathways
alpha-Naphthoflavone,DB07453,No ATC Code,No Pathways
(R)-3-BROMO-2-HYDROXY-2-METHYL-N-[4-NITRO-3-(TRIFLUOROMETHYL)PHENYL]PROPANAMIDE,DB07454,No ATC Code,No Pathways
"N,N'-[biphenyl-4,4'-diyldi(2R)propane-2,1-diyl]dimethanesulfonamide",DB07455,No ATC Code,No Pathways
"3-(1H-indol-3-yl)-4-(1-{2-[(2S)-1-methylpyrrolidinyl]ethyl}-1H-indol-3-yl)-1H-pyrrole-2,5-dione",DB07456,No ATC Code,No Pathways
"3-[1-(3-AMINOPROPYL)-1H-INDOL-3-YL]-4-(1H-INDOL-3-YL)-1H-PYRROLE-2,5-DIONE",DB07457,No ATC Code,No Pathways
"3-(1H-indol-3-yl)-4-{1-[2-(1-methylpyrrolidin-2-yl)ethyl]-1H-indol-3-yl}-1H-pyrrole-2,5-dione",DB07458,No ATC Code,No Pathways
4-PHENOXY-N-(PYRIDIN-2-YLMETHYL)BENZAMIDE,DB07459,No ATC Code,No Pathways
2-({5-CHLORO-2-[(2-METHOXY-4-MORPHOLIN-4-YLPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-N-METHYLBENZAMIDE,DB07460,No ATC Code,No Pathways
"3-AMINO-3-BENZYL-9-CARBOXAMIDE[4.3.0]BICYCLO-1,6-DIAZANONAN-2-ONE",DB07461,No ATC Code,No Pathways
"(3,4-DIHYDROXY-2-NITROPHENYL)(PHENYL)METHANONE",DB07462,No ATC Code,No Pathways
"(3R,4S)-1-[(4-amino-5H-pyrrolo[3,2-d]pyrimidin-7-yl)methyl]-4-[(butylsulfanyl)methyl]pyrrolidin-3-ol",DB07463,No ATC Code,No Pathways
1(R)-1-ACETAMIDO-2-(3-CARBOXY-2-HYDROXYPHENYL)ETHYL BORONIC ACID,DB07464,No ATC Code,No Pathways
"(1S,3S,5S)-2-{(2S)-2-amino-2-[(1R,3S,5R,7S)-3-hydroxytricyclo[3.3.1.1~3,7~]dec-1-yl]acetyl}-2-azabicyclo[3.1.0]hexane-3-carbonitrile",DB07465,No ATC Code,No Pathways
(1R)-2-PHENYLACETAMIDO-2-(3-CARBOXYPHENYL)ETHYL BORONIC ACID,DB07466,No ATC Code,No Pathways
(S)-Indapamide,DB07467,No ATC Code,No Pathways
"(3aS)-3a-hydroxy-5-methyl-1-phenyl-1,2,3,3a-tetrahydro-4H-pyrrolo[2,3-b]quinolin-4-one",DB07468,No ATC Code,No Pathways
"(3aS)-3a-hydroxy-7-methyl-1-phenyl-1,2,3,3a-tetrahydro-4H-pyrrolo[2,3-b]quinolin-4-one",DB07469,No ATC Code,No Pathways
"(3aS)-3a-hydroxy-1-phenyl-1,2,3,3a-tetrahydro-4H-pyrrolo[2,3-b]quinolin-4-one",DB07470,No ATC Code,No Pathways
"5-[5,6-BIS(METHYLOXY)-1H-BENZIMIDAZOL-1-YL]-3-{[1-(2-CHLOROPHENYL)ETHYL]OXY}-2-THIOPHENECARBOXAMIDE",DB07471,No ATC Code,No Pathways
"(R)-(+)9B-(3-METHYL)PHENYL-2,3-DIHYDROTHIAZOLO[2,3-A]ISOINDOL-5(9BH)-ONE",DB07472,No ATC Code,No Pathways
"(R)-(+) 5(9BH)-OXO-9B-PHENYL-2,3-DIHYDROTHIAZOLO[2,3-A]ISOINDOL-3-CARBOXYLIC ACID METHYL ESTER",DB07473,No ATC Code,No Pathways
3-[5-(1H-IMIDAZOL-1-YL)-7-METHYL-1H-BENZIMIDAZOL-2-YL]-4-[(PYRIDIN-2-YLMETHYL)AMINO]PYRIDIN-2(1H)-ONE,DB07474,No ATC Code,No Pathways
N-[4-(AMINOSULFONYL)PHENYL]-2-MERCAPTOBENZAMIDE,DB07476,No ATC Code,No Pathways
Felbinac,DB07477,M02AA08,No Pathways
"3,4-Biphenyldiol",DB07478,No ATC Code,No Pathways
"(1S)-1,2,3,4-TETRAHYDRO-BENZO[C]PHENANTHRENE-2,3,4-TRIOL",DB07479,No ATC Code,No Pathways
4-PHOSPHONOOXY-PHENYL-METHYL-[4-PHOSPHONOOXY]BENZEN,DB07480,No ATC Code,No Pathways
"tert-butyl [(2-amino-4-oxo-4,7-dihydro-3H-pyrrolo[2,3-d]pyrimidin-5-yl)methyl]carbamate",DB07481,No ATC Code,No Pathways
(2R)-N-[(2R)-2-(DIHYDROXYBORYL)-1-L-PROLYLPYRROLIDIN-2-YL]-N-[(5R)-5-(DIHYDROXYBORYL)-1-L-PROLYLPYRROLIDIN-2-YL]-L-PROLINAMIDE,DB07482,No ATC Code,No Pathways
"1,1'-BIPHENYL-2-SULFINIC ACID",DB07483,No ATC Code,No Pathways
"(2R)-4,4-dihydroxy-5-nitro-2-(phenylmethyl)pentanoic acid",DB07484,No ATC Code,No Pathways
Bisphenol Z,DB07485,No ATC Code,No Pathways
"3-({4-[(1E)-3-morpholin-4-yl-3-oxoprop-1-en-1-yl]-2,3-bis(trifluoromethyl)phenyl}sulfanyl)aniline",DB07486,No ATC Code,No Pathways
"(6-METHYL-3,4-DIHYDRO-2H-CHROMEN-2-YL)METHYLPHOSPHINATE",DB07487,No ATC Code,No Pathways
"{4-Amino-2-[(4-methoxyphenyl)amino]-1,3-thiazol-5-yl}(4-methoxyphenyl)methanone",DB07488,No ATC Code,No Pathways
"4-Amino-2-[(3-chlorophenyl)amino]-5-(4-fluorobenzoyl)-1,3-thiazol-3-ium",DB07489,No ATC Code,No Pathways
"2-[1-(4-CHLORO-PHENYL)-ETHYL]-4,6-DINITRO-PHENOL",DB07490,No ATC Code,No Pathways
"5-amino-2,4,6-tribromobenzene-1,3-dicarboxylic acid",DB07491,No ATC Code,No Pathways
Bromamphenicol,DB07492,No ATC Code,No Pathways
5-Bromoindirubin,DB07493,No ATC Code,No Pathways
"(3-EXO)-3-(10,11-DIHYDRO-5H-DIBENZO[A,D][7]ANNULEN-5-YLOXY)-8,8-DIMETHYL-8-AZONIABICYCLO[3.2.1]OCTANE",DB07494,No ATC Code,No Pathways
"5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-(4-METHOXYPHENYL)-1H-PYRAZOLE-3-CARBOXAMIDE",DB07495,No ATC Code,No Pathways
"1,3-diphenylurea",DB07496,No ATC Code,No Pathways
"5-(hexahydro-2-oxo-1H-thieno[3,4-D]imidazol-6-yl)pentanal",DB07497,No ATC Code,No Pathways
"4-[3-(3-NITROPHENYL)-1,2,4-OXADIAZOL-5-YL]BUTANOIC ACID",DB07498,No ATC Code,No Pathways
"N-(4-{[amino(imino)methyl]amino}butyl)-2,4'-bi-1,3-thiazole-4-carboxamide",DB07499,No ATC Code,No Pathways
(2E)-1-[2-hydroxy-4-methoxy-5-(3-methylbut-2-en-1-yl)phenyl]-3-(4-hydroxyphenyl)prop-2-en-1-one,DB07500,No ATC Code,No Pathways
(2S)-1-{4-[(4-Anilino-5-bromo-2-pyrimidinyl)amino]phenoxy}-3-(dimethylamino)-2-propanol,DB07501,No ATC Code,No Pathways
"4-bromo-6-(6-hydroxy-1,2-benzisoxazol-3-yl)benzene-1,3-diol",DB07502,No ATC Code,No Pathways
"(5E)-5-[(2,2-DIFLUORO-1,3-BENZODIOXOL-5-YL)METHYLENE]-1,3-THIAZOLIDINE-2,4-DIONE",DB07503,No ATC Code,No Pathways
(2R)-1-{4-[(4-Anilino-5-bromo-2-pyrimidinyl)amino]phenoxy}-3-(dimethylamino)-2-propanol,DB07504,No ATC Code,No Pathways
"N-({(3R,4R)-4-[(benzyloxy)methyl]pyrrolidin-3-yl}methyl)-N-(2-methylpropyl)benzenesulfonamide",DB07505,No ATC Code,No Pathways
L-BENZYLSUCCINIC ACID,DB07506,No ATC Code,No Pathways
"2-(4-hydroxybiphenyl-3-yl)-4-methyl-1H-isoindole-1,3(2H)-dione",DB07507,No ATC Code,No Pathways
4-(5-BENZENESULFONYLAMINO-1-METHYL-1H-BENZOIMIDAZOL-2-YLMETHYL)-BENZAMIDINE,DB07508,No ATC Code,No Pathways
difluoro(5-{2-[(5-octyl-1H-pyrrol-2-yl-kappaN)methylidene]-2H-pyrrol-5-yl-kappaN}pentanoato)boron,DB07509,No ATC Code,No Pathways
"3-fluoro-6-(4-fluorophenyl)-2-hydroxy-6-oxohexa-2,4-dienoic acid",DB07510,No ATC Code,No Pathways
"4-(4-methyl-1,3-dioxo-1,3-dihydro-2H-isoindol-2-yl)benzonitrile",DB07511,No ATC Code,No Pathways
7-[(3-CHLOROBENZYL)OXY]-2-OXO-2H-CHROMENE-4-CARBALDEHYDE,DB07512,No ATC Code,No Pathways
7-[(3-CHLOROBENZYL)OXY]-4-[(METHYLAMINO)METHYL]-2H-CHROMEN-2-ONE,DB07513,No ATC Code,No Pathways
"3-(2-aminoquinazolin-6-yl)-1-(3,3-dimethylindolin-6-yl)-4-methylpyridin-2(1H)-one",DB07514,No ATC Code,No Pathways
"1-(2-{[(6-amino-2-methylpyridin-3-yl)methyl]amino}ethyl)-6-chloro-3-[(2,2-difluoro-2-pyridin-2-ylethyl)amino]-1,4-dihydropyrazin-2-ol",DB07515,No ATC Code,No Pathways
"(2Z,4E)-3-chloro-2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoic acid",DB07516,No ATC Code,No Pathways
3-CARBOXY-4-METHYL-5-PROPYL-2-FURANPROPIONIC,DB07517,No ATC Code,No Pathways
(2R)-2-ETHYL-1-HEXANESULFONIC ACID,DB07518,No ATC Code,No Pathways
"(6R)-2-amino-6-[2-(3'-methoxybiphenyl-3-yl)ethyl]-3,6-dimethyl-5,6-dihydropyrimidin-4(3H)-one",DB07519,No ATC Code,No Pathways
"N-[1-(AMINOMETHYL)CYCLOPROPYL]-3-(MORPHOLIN-4-YLSULFONYL)-N~2~-[(1S)-2,2,2-TRIFLUORO-1-(4-FLUOROPHENYL)ETHYL]-L-ALANINAMIDE",DB07520,No ATC Code,No Pathways
"(3Z,6S)-6-Chloro-1-(2-{[(5-chloro-1-benzothiophen-3-yl)methyl]amino}ethyl)-3-({2-[(2R)-2-piperidinyl]ethyl}imino)-2-piperazinol",DB07521,No ATC Code,No Pathways
"N-[(2R,3S)-3-AMINO-2-HYDROXY-4-PHENYLBUTYL]NAPHTHALENE-2-SULFONAMIDE",DB07522,No ATC Code,No Pathways
"N-phenyl-1H-pyrrolo[2,3-b]pyridin-3-amine",DB07524,No ATC Code,No Pathways
"3-(3-methoxybenzyl)-1H-pyrrolo[2,3-b]pyridine",DB07525,No ATC Code,No Pathways
N-[4-({[5-(DIMETHYLAMINO)-1-NAPHTHYL]SULFONYL}AMINO)BUTYL]-3-SULFANYLPROPANAMIDE,DB07526,No ATC Code,No Pathways
"N-[(2R,3S)-3-AMINO-2-HYDROXY-4-PHENYLBUTYL]-4-METHOXY-2,3,6-TRIMETHYLBENZENESULFONAMIDE",DB07527,No ATC Code,No Pathways
3-(2-aminoquinazolin-6-yl)-4-methyl-1-[3-(trifluoromethyl)phenyl]pyridin-2(1H)-one,DB07528,No ATC Code,No Pathways
"(5E)-2-Amino-5-(2-pyridinylmethylene)-1,3-thiazol-4(5H)-one",DB07529,No ATC Code,No Pathways
